Optional	[{:family=>"Bent", :given=>"Henry A."}]	["The Second Law: An Introduction to Classical and Statistical Thermodynamics"]	book		["1965"]
Optional	[{:family=>"Chandrasekhar", :given=>"S."}]	["An Introduction to the Study of Stellar Structure"]	book		["1939"]
Optional	[{:family=>"Denbigh", :given=>"K."}]	["The Principles of Chemical Equilibrium"]	book		["1971"]
Optional	[{:family=>"Devereux", :given=>"Owen F."}]	["Topics in Metallurgical Thermodynamics"]	book		["1983"]
Optional	[{:family=>"Fermi", :given=>"Enrico"}]	["Thermodynamics"]	book		["1936"]
Optional	[{:family=>"Gaskell", :given=>"David R."}]	["Introduction to Metallurgical Thermodynamics"]	book		["1981"]
Optional	[{:family=>"Gibbs", :given=>"J.Willard"}]	["On the equilibrium of heterogeneous substances", "In Collected Works 1, Longmans"]	book		["1876", "1928"]
Optional	[{:family=>"Lifshitz", :given=>"E.M."}, {:family=>"Pitaevskii", :given=>"L.P."}]	["Statistical Physics"]			["1980"]
Optional	[{:family=>"Planck", :given=>"Max"}]	["Treatise on Thermodynamics"]	book		["1926"]
Optional	[{:family=>"Shrodinger", :given=>"Edwin"}]	["Statistical Thermodynamics"]			["1989"]
