Optional		["Purdue University Thermophysical Properties Research Center. Thermophysical Properties of Matter"]			["1970"]
Optional	[{:family=>"Reid", :given=>"R.C."}]	["The Properties of Gases and Liquids"]			["1987"]
Optional	[{:family=>"Vargaftik", :given=>"N.B."}]	["Handbook of Physical Properties of Liquids and Gases: Pure Substances and Mixtures"]			["1983"]
Optional	[{:family=>"Bellows", :given=>"James C."}, {:family=>"Gallagher", :given=>"John S."}, {:family=>"Harvey", :given=>"Allan H."}, {:family=>"Parry", :given=>"William T."}]	["ASME Steam Tables for Industrial Use"]			["2000"]
Optional	[{:family=>"Ho", :given=>"C.Y."}]	["Thermal Conductivity of the Elements: A Comprehensive Review"]			["1974"]
Optional	[{:family=>"Poling", :given=>"B.E."}, {:others=>true}]	["The Properties of Gases and Liquids"]			["2000"]
Optional	[{:family=>"Lienhard", :given=>"J.H.", :suffix=>"IV"}, {:family=>"Lienhard", :given=>"J.H."}, {:given=>"V."}]	["A Heat Transfer Version Textbook"]			["2008"]
Optional	[{:family=>"Mills", :given=>"A.F."}]	["Basic Heat and Mass Transfer"]			["1999"]
Optional	[{:family=>"Baehr", :given=>"H.D."}, {:family=>"Stephan", :given=>"K."}]	["Heat and Mass Transfer"]			["1998"]
Optional	[{:family=>"Cengel", :given=>"Y.A."}]	["Heat Transfer: A Practical Approach"]			["2002"]
Optional	[{:family=>"MathWorks", :given=>"Inc"}]	["Partial Differential Equation"]	book		["1995"]
