Required	Romer, David. Advanced Macroeconomics. 2nd ed. New York: McGraw Hill, 2001. ISBN: 0072318554.
Required	Solow, R. M. “A Contribution to the Theory of Economic Growth.” Quarterly Journal of Economics 70 (1956): 65-94.
Required	Mankiw, N. G., D. Romer, and D. Weil. “A Contribution to the Empirics of Economic Growth.” Quarterly Journal of Economics 107 (1992): 401-437.
Optional	Barro, R. J., and X. Sala-i-Martin. Economic Growth. 1995
Optional	Blanchard, O., and S. Fischer. Lectures on Macroeconomics. 1989
Required	Barro, R. J. “Are Government Bonds Net Wealth?” Journal of Political Economy 82 (1974): 1095-1117.
Required	Diamond, P. “National Debt in a Neoclassical Growth Model.” American Economic Review 55 (1965): 1126-1150.
Optional	Blanchard, O. “Debt, Deficits and Finite Horizons.” Journal of Political Economy 93 (1985): 223-247.
Required	Barro, R. J., “On the Determination of the Public Debt.” Journal of Political Economy 87 (1979): 940-71.
Optional	Barro, R. “Ramsey Meets Laibson in the Neoclassical Growth Model.” Quarterly Journal of Economics 114 (1999): 1125-1152.
Optional	Laibson, D. “Golden Eggs and Hyperbolic Discounting.” Quarterly Journal of Economics 112 (1997): 443-478.
Optional	Lucas, R. E, Jr. “Asset Prices in an Exchange Economy.” Econometrica 46 (1978): 1429-1445.
Required	Romer, P. M. “Increasing Returns and Long-Run Growth.” Journal of Political Economy 94 (1986): S1002-S1037.
Required	Lucas, R. E., Jr. “On the Mechanics of Economic Development.” Journal of Monetary Economics 22 (1988): 3-42.
Required	Romer, P. M. “Endogenous Technological Change.” Journal of Political Economy 98 (1990): 71-102.
Optional	Lucas, R. E., Jr. “Making a Miracle.” Econometrica 61 (1993): 251-272.
Optional	Aghion, P., and P. Howitt. “A Model of Growth Through Creative Destruction.” Econometrica 60 (1992): 323-351.
Required	Kydland, F., and Prescott, E. C. “Time to Build and Aggregate Fluctuations.” Econometrica 50 (1982): 1345-1370.
Required	Lucas, R. E., Jr. “An Equilibrium Model of the Business Cycle.” Journal of Political Economy 81 (1975): 1113-1144.
Optional	Barro, R. Macroeconomics. Chap. 9. MIT Press, 1998. ISBN: 0262024365.
Optional	Prescott, E. C. “Theory Ahead of Business Cycle Measurement.” Quarterly Review, Federal Reserve Bank of Minneapolis. 1986, pp. 9-22.
Optional	Lucas, R. E., Jr. Models of Business Cycles. Oxford: Basil Blackwell, 1987.
Optional	Blanchard, O. “Why Does Money Affect Output? A Survey.” In Handbook of Monetary Economics. Edited by B. Friedman and F. Hahn. North Holland: 1990, pp. 779-835.
Required	Mankiw, N. G. “Small Menu Costs and Large Business Cycles: A Macroeconomic Model of Monopoly.” Quarterly Journal of Economics 100 (1985): 529-539.
Optional	Calvo, G. “Staggered Prices in a Utility-Maximizing Framework.” Journal of Monetary Economics 12 (1983): 383-398.
Required	Obstfeld, M. “Risk-Taking, Global Diversification, and Growth.” American Economic Review 84 (1994): 1310-1329.
Required	Bernanke, B., and M. Gertler. “Agency Costs, Collateral, and Business Fluctuations.” American Economic Review 79 (1989): 87-114.
Optional	Greenwood, J., and B. Jovanovic. “Financial Development, Growth, and the Distribution of Income.” Journal of Political Economy 98 (1990): 219-240.
Optional	Banarjee, A., and A. Newman. “Occupational Choice in the Process of Development.” Journal of Political Economy 101 (1993): 274-298.
Required	Shapiro, C. and J. Stiglitz. “Equilibrium Unemployment as a Worker Discipline Device.” American Economic Review 74 (1984): 433-444.
Optional	Diamond, P. “Aggregate Demand Management in Search Equilibrium.” Journal of Political Economy 90 (1982): 881-894.
Optional	Hall, R. E. “Stochastic Implications of the Life Cycle-Permanent Income Hypothesis: Theory and Evidence.” Journal of Political Economy 86 (1978): 971-987.
