Required	Acemoglu, D. “Technical Change, Inequality, and The Labor Market.” Journal of Economic Literature 40, no. 1 (March 2002): 7-72.
Required	Caselli, F. “Technological Revolutions.” American Economic Review 89, no. 1 (March 1999): 78-102.
Required	Beaudry, Paul, and David Green. “Wages and Employment in the US and Germany: What Explains the Difference?” American Economic Review 93, no. 3 (June 2003): 573-602.
Optional	Acemoglu, D. “Why do New Technologies Complement Skills? Directed Technical Change and Wage Inequality.” Quarterly Journal of Economics 113, no. 4 (November 1998): 1055-89.
Optional	Zeira, J. “Workers, Machines, and Economic Growth.” Quarterly Journal of Economics 113, no. 4 (November 1998): 1091-1117.
Optional	Cooley, T., and M. Yorukoglu. “Innovation and Imitation in an Information Age.” Journal of the European Economic Association 1, no. 2-3 (April-May 2003): 406-18.
Required	Rosen, Sherwin. ‘‘Authority, Control, and the Distribution of Earnings." Bell Journal of Economics 13, no.2 (1982): 311-23.
Required	Cooley, T., and M. Yorukoglu. “The New Economy: Some Macroeconomic Implications of an Information Age.” mimeo, NYU.
Required	Murphy, Shleifer, and Vishny. “The Allocation of Talent: Implications for Growth.” Quarterly Journal of Economics 106, no. 2 (May 1991): 503-30.
Required	Kremer, Michael. “The O-Ring Theory of Economic Development.” Quarterly Journal of Economics 108, no. 3 (August 1993): 551-75.
Optional	Rosen, Sherwin. ‘‘The Economics of Superstars.’’ American Economic Review 71, no.5 (1981): 845-58.
Optional	Saint-Paul, G. “On the Distribution of Income and Worker Assignment Under Intra-firm Spillovers, with an Application to Ideas and Networks.” Journal of Political Economy 109, no. 1 (February 2001): 1-37.
Optional	“Information Technologies and the Knowledge Elite.” Working Paper, 2001 (CEPR Discussion Paper: 2761).
Optional	Garicano, Luis. “Hierarchies and the Organization of Knowledge in Production.” Journal of Political Economy 108, no. 5 (October 2000): 874-904.
Optional	Kremer, and Maskin. “Wage Inequality and Segregation by Skill.” National Bureau of Economic Research Working Paper: 5718.
Optional	Manasse, Paolo, and Turrini Alessandro. “Trade, Wages, and ‘Superstars’.” Journal of International Economics 54, no. 1 (June 2001): 97-117.
Required	Greenwood, Jeremy, and Mehmet Yorukoglu. “1974.” Carnegie-Rochester Conference Series on Public Policy 46 (June 1997): 49-95.
Optional	Greenwood, Jeremy, and Boyan Jovanovic. " The Information-Technology Revolution and The Stock Market." American Economic Review (Papers and Proceedings) 89 (May 1999): 116-122.
Optional	Hobijn, Bart, and Boyan Jovanovic. “The IT Revolution and the Stock Market: Evidence.” American Economic Review 91 no. 5 (2001): 1203-20.
Optional	Jovanovic, B., and P. Rousseau. “Two Technological Revolutions.” Journal of the European Economic Association 1, no. 2-3 (April-May 2003): 419-28.
Required	Saint-Paul, Gilles. “Distribution and Growth in an Economy With Limited Needs.” CEPR Discussion Paper: 2834, 2001.
Required	Matsuyama, K. “The Rise of Mass Consumption Societies.” Journal of Political Economy 110, no. 5 (October 2002): 1035-70.
Required	“A Ricardian Model with a Continuum of Goods under Nonhomothetic Preferences: Demand Complementarities, Income Distribution, and North-South Trade.” Journal of Political Economy 108, no. 6 (December 2000): 1093-1120.
Optional	Zweimuller, Josef. “Schumpeterian Entrepreneurs Meet Engel’s Law: The Impact of Inequality on Innovation-Driven Growth.” Journal of Economic Growth 5, no. 2 (June 2000): 185-206.
Optional	Foellmi, Reto, and Josef Zweimuller. “Heterogeneous Mark-ups, Demand Composition, and the Inequality-Growth Relation.” Royal Economic Society Annual Conference 2002.
Optional	Matsuyama, K. “Growing Through Cycles in an Infinitely-Lived Agent Economy.” Journal of Economic Theory 100, no. 2 (October 2001): 220-34.
Optional	“Growing Through Cycles.” Econometrica 67, no. 2 (March 1999): 335-47.
Optional	Cohen, Daniel, and G. Saint-Paul, “Uneven Technical Progress and Job Destruction.” CEPR Working paper, 1994.
Optional	Baumol, William. “Macroeconomics of Unbalanced Growth: The Anatomy of Urban Crisis.” In Baumol’s cost disease: The arts and other victims (1997): 51-62, Elgar.
