author	title	type	collection	year	_merge	category
"[{:family=>""Hemond"", :given=>""H.F.""}, {:family=>""Fechner"", :given=>""E.J.""}]"	Chemical Fate and Transport in the Environment			2000	both	Required
"[{:family=>""Driscoll"", :given=>""F.""}]"	Groundwater and Wells			1986	both	Optional
"[{:family=>""Freeze"", :given=>""R.A.""}, {:family=>""Cherry"", :given=>""J.A.""}]"	Groundwater			1979	both	Optional
"[{:family=>""Morel"", :given=>""F.M.M.""}, {:family=>""Hering"", :given=>""J.G.""}]"	Principles and Application of Aquatic Chemistry			1993	both	Optional
"[{:family=>""Reid"", :given=>""G.""}, {:family=>""Wood"", :given=>""R.""}]"	Ecology of Inland Waters and Estuaries			1976	both	Optional
"[{:family=>""Schwarzenbach"", :given=>""R.P.""}, {:family=>""Gschwend"", :given=>""P.M.""}, {:family=>""Imboden"", :given=>""D.M.""}]"	Environmental Organic Chemistry			1993	both	Optional
"[{:family=>""Stern"", :given=>""A.C.""}, {:family=>""Boubel"", :given=>""R.W.""}, {:family=>""Turner"", :given=>""D.B.""}, {:family=>""Fox"", :given=>""D.L.""}]"	Fundamentals of Air Pollution			1984	both	Optional
"[{:family=>""Stumm"", :given=>""W.""}, {:family=>""Morgan"", :given=>""J.J.""}]"	Aquatic Chemistry			1981	both	Optional
"[{:family=>""Thibodeaux"", :given=>""L.""}]"	Chemodynamics			1979	both	Optional
"[{:family=>""Wayne"", :given=>""R.P.""}]"	Chemistry of Atmospheres			1991	both	Optional
"[{:family=>""Wetzel"", :given=>""R.G.""}]"	Limnology Saunders			1983	both	Optional
