Optional	Gershwin, Stanley B. Manufacturing Systems Engineering. Prentice Hall, 1993. ISBN: 9780135606087
Optional	Monden, Yasuhiro. Toyota Production System: Practical Approach to Production Management. Industrial Engineering and Management Press, 1983. ISBN: 9780898060348
Optional	Viswanadham, N., and Y. Narahari. Performance Modeling of Automated Manufacturing Systems. Prentice Hall, 1994. ISBN: 9788120308701
Optional	Buzacott, John A., and J. George Shanthikumar. Stochastic Models of Manufacturing Systems. Pearson, 1993. ISBN: 9780138475673
Optional	Askin, Ronald G., and Charles R. Standridge. Modeling and Analysis of Manufacturing Systems. Wiley, 1993. ISBN: 9780471514183
Optional	Tempelmeier, Horst, and Heinrich Kuhn. Flexible Manufacturing Systems: Decision Support for Design and Operation. Wiley-Interscience, 1993. ISBN: 9780471307211
Optional	Papadopoulos, H. T., C. Heavey, and J. Browne. Queueing Theory in Manufacturing Systems Analysis and Design. Chapman and Hall / CRC, 1993. ISBN: 9780412387203
Optional	Altiok, Tayfur. Performance Analysis of Manufacturing Systems. Springer-Verlag New York Incorporated, 1997
Optional	Hopp, Wallace J., and Mark L. Spearman. Factory Physics: Foundations of Manufacturing Management. 3rd ed. Waveland Press Incorporated, 2011. ISBN: 9781577667391
Optional	Dolgui A., and J. M. Proth. Les systèmes de production modernes. Tome 1 : Conception, gestion et optimisation. Hermes Science Publications, 2006, p. 415. ISBN: 9782746212497
Optional	———. Les systèmes de production modernes. Tome 2 : Outils et corrigés des exercices coll finance gestion managem. Hermes Science, 2006, p. 385. ISBN: 9782746212503
Optional	Li , Jingshan, and Semyon M. Meerkov. Production Systems Engineering. Springer, 2008. ISBN: 9780387755780
Optional	Goldratt, Eliyahu M., and Jeff Cox. The Goal: A Process of Ongoing Improvement. 3rd ed. North River Press, 2014. ISBN: 9780884271956
Optional	Drake, Alvin W. Fundamentals of Applied Probability Theory. Mcgraw-Hill College, 1967. ISBN: 9780070178151
Optional	Ross, Sheldon M. Introduction to Probability and Statistics for Engineers and Scientists. Wiley, 1987. ISBN: 9780471817529
Optional	Hillier, Frederick S., and G. J. Lieberman. Introduction to Stochastic Models in Operations Research. McGraw-Hill, 1990. ISBN: 9780070289383
Optional	Kleinrock, Leonard. Queueing Systems, Volume 1: Theory. Wiley-Interscience, 1975. ISBN: 9780471491101
Optional	Chen, Hong, and David D. Yao. Fundamentals of Queueing Networks: Performance, Asymptotics, and Optimization (Stochastic Modelling and Applied Probability). Springer, 2001. ISBN: 9780387951669
Optional	McLain, John O., and L. Joseph Thomas. Operations Management: Production of Goods and Services. Prentice-Hall, 1985. ISBN: 9780136376200
Optional	Box, George E. P., William G. Hunter, and J. Stuart Hunter. Statistics for Experimenters: An Introduction to Design, Data Analysis, and Model Building. John Wiley and Sons, 1978. ISBN: 9780471093152
Optional	Pankratz, Alan. Forecasting with Dynamic Regression Models. Wiley-Interscience, 1991. ISBN: 9781853105845
Optional	Hillier, Frederick S., and Gerald J. Lieberman. Introduction to Mathematical Programming (MAC). McGraw-Hill Science / Engineering / Math, 1995. ISBN: 9780079118301
Optional	Luenberger, David G. Introduction to Linear and Nonlinear Programming. Addison-Wesley, 1973. ISBN: 9780201043457
Optional	Law, Averill M., and D. Kelton. Simulation Modeling and Analysis. McGraw-Hill Education, 2014. ISBN: 9780073401324
Optional	Denardo, Eric V. The Science of Decision Making: A Problem-Based Approach Using Excel. Wiley, 2001. ISBN: 9780471318279
Optional	Luenberger, David G. Introduction to Dynamic Systems: Theory, Models, and Applications. Wiley, 1979. ISBN: 9780471025948
