Required	Mas-Colell, Andreu, Michael D. Whinston, and Jerry R. Green. Microeconomic Theory. Oxford University Press, 1995. ISBN: 9780195073409
Required	Varian, Hal R. Microeconomic Analysis, Third Edition. W.W Norton & Company, 1992. ISBN: 9780393957358
Required	Bolton, Patrick, and Mathias Dewatripont. Contract Theory. MIT Press, 2004. ISBN: 978026202576
Required	Kreps, David M. A Course in Microeconomic Theory. Financial Times Prentice Hall, 1990. ISBN: 9780745007625
Required	Hart, Oliver. Firms, Contracts, and Financial Structures. Clarendon Press, 1995. 9780198288817
Required	Milgrom, Paul. Putting Action Theory to Work. Cambridge University Press, 2004.  9780521536721
Required	Gollier, Christian. The Economics of Risk and Time. The MIT Press, 2004. 9780262572248
Required	Rothschild, Michael, and Joseph E. Stiglitz. “Increasing Risk I: A Definition.” Journal of Economic Theory 2, no. 3 (1970): 225–243
Required	Wilson, Robert. “The Theory of Syndicates.” Econometrica 36, no. 1 (1968):119–132
Required	Kamenica, Emir, and Matthew Gentzkow. “Bayesian Persuasion.” American Economic Review 101, no. 6 (2011): 2590–2615
Required	Hart, Oliver, and Bengt Holmstrom. “The Theory of Contracts.” In Advances in Economic Theory: Fifth World Congress. Edited by Truman Fassett Bewley. Cambridge University Press, 1989. ISBN: 9780521389259
Required	Holmstrom, Bengt, and Paul Milgrom. “Multitask Principal-Agent Analysis.” Journal of Law, Economics and Organization 7 (1991): 24–52
Required	Lazear Edward P., and Sherwin Rosen. “Rank-Order Tournaments as Optimum Labor Contracts.” Journal of Political Economy 89 (1983): 841–64
Required	Stiglitz, Joseph E. and Michael Rothschild. “Equilibrium in Competitive Insurance Markets: An Essay on the Economics of Imperfect Information.” Quarterly Journal of Economics 90, no. 4 (1976) 629–649
Required	Maskin, Eric, and John Riley. “Monopoly with Incomplete Information.” The RAND Journal of Economics 15, no 2 (1984): 171–196
Required	Holmstrom, Bengt. “Groves’ Scheme on Restricted Domains."Econometrica 47, no. 5 (1979): 1137–44
Required	Myerson Roger B., and Mark A. Satterthwaite. “Efficient Mechanisms for Bilateral Trading.” Journal of Economic Theory 29 (1983): 265–81
Required	Myerson, Roger B. “Optimal Auction Design .” Northwestern University Center for Mathematical Studies in Economics and Management Science, Discussion Papers No. 362, 1978
Required	Hart, Oliver. Firms, Contracts, and Financial Structure. Clarendon Press, 1995. ISBN: 9780198288817
Required	Grossman, Sanford J., and Oliver D. Hart. “The Costs and Benefits of Ownership: A Theory of Vertical and Lateral Integration.” Journal of Political Economy 94, no. 4 (1986): 691–719
