Optional	[{:family=>"Fischer", :given=>"Hugo B."}, {:family=>"List", :given=>"John E."}, {:family=>"Koh", :given=>"C.Robert"}, {:family=>"Imberger", :given=>"Jorg"}, {:family=>"Brooks", :given=>"Norman H."}]	["Mixing in Inland and Coastal Waters"]			["1979"]
Optional	[{:family=>"Chapra", :given=>"Steven C."}]	["Surface Water Quality Modeling"]			["1996"]
Optional	[{:family=>"Clark", :given=>"Mark M."}]	["Transport Modeling for Environmental Engineers and Scientists"]			["1996"]
Optional	[{:family=>"DiToro", :given=>"Dominic M."}]	["Sediment Flux Modeling"]			["2000"]
Optional	[{:family=>"Agency", :given=>"Environmental Protection"}]	["Water Quality Assessment: A Screening Procedure for Toxic and Conventional Pollutants in Surface and Ground Water: Parts I and II"]			["1985"]
Optional	[{:family=>"Holley", :given=>"Edward R."}, {:family=>"Jirka", :given=>"Gerhard H."}]	["Mixing in Rivers"]	chapter	["Environmental and Water Quality Operational Studies, US Army Engineer Waterways Experiment Station"]	["1986"]
Optional	[{:family=>"Martin", :given=>"James L."}, {:family=>"McCutcheon", :given=>"Steven C."}]	["Hydrodynamics and Transport for Water Quality Modeling"]			["1999"]
Optional		["Mathematical Modeling of Water Quality: Streams, Lakes, and Reservoirs"]			["1983"]
Optional	[{:family=>"Rutherford", :given=>"J.C."}]	["River Mixing"]			["1994"]
Optional	[{:family=>"Schnoor", :given=>"Jerald L."}]	["Environmental Modeling: Fate and Transport of Pollutants in Water, Air, and Soil"]			["1996"]
Optional	[{:family=>"Thomann", :given=>"Robert V."}, {:family=>"Mueller", :given=>"John A."}]	["Principles of Surface Water Quality Modeling and Control"]			["1997"]
