Optional	[{:family=>"Minorsky", :given=>"Nicholas"}]	["Nonlinear Oscillations"]			["1974"]
Optional	[{:family=>"Nayfeh", :given=>"Ali Hasan"}, {:family=>"Mook", :given=>"Dean T."}]	["Nonlinear Oscillations"]			["1995"]
Optional	[{:family=>"Stoker", :given=>"J.J."}]	["Nonlinear Vibrations in Mechanical and Electrical Systems"]			["1992"]
Optional	[{:family=>"Den Hartog", :given=>"J.P."}]	["Mechanical Vibrations"]			["1985"]
Optional	[{:family=>"Andronov", :given=>"A.A."}, {:family=>"Vitt", :given=>"A.A."}, {:family=>"Khaikin", :given=>"S.E."}]	["Theory of Oscillators"]			["1987"]
Optional	[{:family=>"Hayashi", :given=>"Chihiro"}]	["Nonlinear Oscillations in Physical Systems"]			["1986"]
Optional	[{:family=>"Pippard", :given=>"A.B."}]	["Response and Stability: An Introduction to the Physical Theory"]			["1985"]
Optional	[{:family=>"Strogatz", :given=>"Steven H."}]	["Nonlinear Dynamics and Chaos: With Applications to Physics, Biology, Chemistry and Engineering"]			["2001"]
Optional	[{:family=>"Iooss", :given=>"Gerard"}, {:family=>"Joseph", :given=>"Daniel D."}]	["Elementary Stability and Bifurcation Theory"]			["2004"]
Optional	[{:family=>"Whitham", :given=>"G.B."}]	["Linear and Nonlinear Waves"]			["2006"]
Optional	[{:family=>"Craik", :given=>"Alex D.D."}]	["Wave Interactions and Fluid Flows"]			["1999"]
Optional	[{:family=>"Drazin", :given=>"P.G."}]	["Nonlinear Systems"]			["1992"]
Optional	[{:family=>"Newell", :given=>"Alan C."}]	["Solitons in Mathematics and Physics"]			["1987"]
Optional	[{:family=>"Dauxois", :given=>"Thierry"}, {:family=>"Peyrard", :given=>"Michel"}]	["Physics of Solitons"]			["2006"]
