Required	[{:family=>"Billingsley", :given=>"Patrick"}]	["Weak Convergence of Measures: Applications in Probability"]	article-journal	["Society for Industrial and Applied Mathematics"]	["1987"]
Required	[{:family=>"Chen", :given=>"H."}, {:family=>"Yao", :given=>"D."}]	["Fundamentals of Queueing Networks: Performance, Asymptotics and Optimization"]			["2001"]
Required	[{:family=>"Dembo", :given=>"Amir"}, {:family=>"Ofer", :given=>"Zeitouni"}]	["Large Deviations Techniques and Applications"]			["2009"]
Required	[{:family=>"Durrett", :given=>"Rick"}]	["Probability: Theory and Examples"]			["2010"]
Required	[{:family=>"Karatzas", :given=>"Ioannis"}, {:family=>"Steven", :given=>"Shreve"}]	["Brownian Motion and Stochastic Calculus"]			["1991"]
Required	[{:family=>"Øksendal", :given=>"B."}]	["Stochastic Differential Equations: An Introduction with Applications"]			["2010"]
Required	[{:family=>"Resnick", :given=>"Sydney"}]	["Adventures in Stochastic Processes"]			["1992"]
Required	[{:family=>"Shwartz", :given=>"Adam"}, {:family=>"Weiss", :given=>"Alan"}]	["Large Deviations for Performance Analysis: Queues, Communication and Computing"]			["1995"]
Required	[{:family=>"Grimmett", :given=>"Geoffrey R."}, {:family=>"Stirzaker", :given=>"David R."}]	["Section 7.8 in Probability and Random Processes"]			["2001"]
Required	[{:family=>"Duffie", :given=>"Darrell"}]	["Dynamic Asset Pricing Theory"]			["2001"]
Optional	[{:family=>"Dinwoodie", :given=>"I.H."}]	["A Note on the Upper Bound for I.I.D Large Deviations"]	article-journal	["The Annals of Probability"]	["1991"]
Optional	[{:family=>"Lancaster", :given=>"Peter"}, {:family=>"Tismenetsky", :given=>"Miron"}]	["The Theory of Matrices: With Applications"]			["1985"]
Optional	[{:family=>"Seneta", :given=>"E."}]	["Non-Negative Matrices and Markov Chains"]			["2006"]
Optional	[{:family=>"Slaby", :given=>"M."}]	["On the Upper Bound for Large Deviations of Sums of I.I.D Random Vectors"]	article-journal	["The Annals of Probability"]	["1988"]
