Required	[{:family=>"Coase", :given=>"Ronald"}]	["The Nature of the Firm"]	article-journal	["Economica"]	["1937"]
Required	[{:family=>"Williamson", :given=>"Oliver"}]	["The Vertical Integration of Production: Market Failure Considerations"]	article-journal	["American Economic Review"]	["1971"]
Required	[{:family=>"Alchian", :given=>"Armen"}, {:family=>"Demsetz", :given=>"Harold"}]	["Production, Information Costs, and Economic Organization"]	article-journal	["American Economic Review"]	["1972"]
Required	[{:family=>"Klein", :given=>"Benjamin"}, {:family=>"Crawford", :given=>"Robert"}, {:family=>"Alchian", :given=>"Armen"}]	["Vertical Integration, Appropriable Rents, and the Competitive Contracting Process"]	article-journal	["Journal of Law and Economics"]	["1978"]
Required	[{:family=>"Monteverde", :given=>"Kirk"}, {:family=>"Teece", :given=>"David"}]	["Supplier Switching Costs and Vertical Integration in the Automobile Industry"]	article-journal	["Bell Journal of Economics"]	["1982"]
Required	[{:family=>"Masten", :given=>"Scott"}]	["The Organization of Production: Evidence from the Aerospace Industry"]	article-journal	["Journal of Law and Economics"]	["1984"]
Required	[{:family=>"Joskow", :given=>"Paul"}]	["Vertical Integration and Long-Term Contracts: The Case of Coal-Burning Electric Generation Plants"]	article-journal	["Journal of Law Economics and Organizations"]	["1985"]
Required	[{:family=>"Grossman", :given=>"Sanford"}, {:family=>"Hart", :given=>"Oliver"}]	["The Costs and Benefits of Ownership: A Theory of Vertical and Lateral Integration"]	article-journal	["Journal of Political Economy"]	["1986"]
Required	[{:family=>"Holmstrom", :given=>"Bengt"}]	["The Firm as a Subeconomy"]	article-journal	["Journal of Law Economics and Organizations"]	["1999"]
Required	[{:family=>"Simon", :given=>"Herbert"}]	["A Formal Theory Model of the Employment Relationship"]	article-journal	["Econometrica"]	["1951"]
Required	[{:family=>"Woodruff", :given=>"Christopher"}]	["Non-contractible Investment and Vertical Integration in the Mexican Footwear Industry"]	article-journal	["International Journal of Industrial Organization"]	["2002"]
Required	[{:family=>"Baker", :given=>"George"}, {:family=>"Hubbard", :given=>"Thomas"}]	["Contractibility and Asset Ownership: On-Board Computers and Governance in US Trucking"]	article-journal	["Quarterly Journal of Economics"]	["2004"]
Required	[{:family=>"Bajari", :given=>"Patrick"}, {:family=>"Tadelis", :given=>"Steven"}]	["Incentives Versus Transaction Costs: A Theory of Procurement Contracts"]	article-journal	["RAND Journal of Economics"]	["2001"]
Required	[{:family=>"Baker", :given=>"George P."}, {:family=>"Gibbons", :given=>"Robert"}, {:family=>"Murphy", :given=>"Kevin J."}]	["Relational Contracts and the Theory of the Firm"]	article-journal	["Quarterly Journal of Economics"]	["2002"]
Required	[{:family=>"Lerner", :given=>"Josh"}, {:family=>"Merges", :given=>"Robert"}]	["The Control of Technology Alliances: An Empirical Analysis of the Biotechnology Industry"]	article-journal	["Journal of Industrial Economics"]	["1998"]
Required	[{:family=>"Arruñada", :given=>"Benito"}, {:family=>"Garicano", :given=>"Luis"}, {:family=>"Vázquez", :given=>"Luis"}]	["Contractual Allocation of Decision Rights and Incentives: The Case of Automobile Distribution"]	article-journal	["Journal of Law, Economics, and Organization"]	["2001"]
Required	[{:family=>"Corts", :given=>"Kenneth"}, {:family=>"Singh", :given=>"Jasjit"}]	["The Effect of Repeated Interaction on Contract Choice: Evidence from Offshore Drilling"]	article-journal	["Journal of Law, Economics, and Organization"]	["2004"]
Required	[{:family=>"Weber", :given=>"Katherine Seger"}, {:family=>"Hill", :given=>"Linda"}]	["Rudi Gassner and the Executive Committee of BMG International (A"]	book		["1995"]
Required	[{:family=>"Hunt", :given=>"Brian"}, {:family=>"Lerner", :given=>"Josh"}]	["Xerox Technology Ventures: March 1995"]	book		["1998"]
Required	[{:family=>"Freeze", :given=>"Karen"}, {:family=>"Pisano", :given=>"Gary"}]	["Crown Equipment Corporation: Design Services Strategy"]	book		["1991"]
Required	[{:family=>"Dyer", :given=>"Jeffrey"}]	["How Chrysler Created an American Keiretsu"]	article-journal	["Harvard Business Review (July-August"]	
Required	[{:family=>"Courty", :given=>"Pascal"}, {:family=>"Marschke", :given=>"Gerald"}]	["An Empirical Investigation of Gaming Responses to Explicit Performance Incentives"]	article-journal	["Journal of Labor Economics"]	["2004"]
Required	[{:family=>"Oyer", :given=>"Paul"}]	["Fiscal Year Ends and Nonlinear Incentive Contracts: The Effect on Business Seasonality"]	article-journal	["Quarterly Journal of Economics"]	["1998"]
Required	[{:family=>"Baker", :given=>"George"}, {:family=>"Gibbons", :given=>"Robert"}, {:family=>"Murphy", :given=>"Kevin J."}]	["Subjective Performance Measures in Optimal Incentive Contracts"]	article-journal	["Quarterly Journal of Economics"]	["1994"]
Required	[{:family=>"Burtis", :given=>"Andrew"}, {:family=>"Gabarro", :given=>"John"}]	["Brainard, Bennis & Farrell"]	book		["1996"]
Required	[{:family=>"Stewart", :given=>"James"}]	["Taking the Dare"]	article-journal	["The New Yorker"]	["1993-07-26"]
Required	[{:family=>"Roy", :given=>"Donald"}]	["Quota Restriction and Goldbricking in a Machine Shop"]	article-journal	["American Journal of Sociology"]	["1952"]
Required	[{:family=>"Waldman", :given=>"Michael"}]	["Job Assignment, Signaling, and Efficiency"]	article-journal	["RAND Journal of Economics"]	["1984"]
Required	[{:family=>"Prendergast", :given=>"Canice"}]	["The Role of Promotion in Inducing Specific Human Capital Acquisition"]	article-journal	["Quarterly Journal of Economics"]	["1993"]
Required	[{:family=>"Podolny", :given=>"Joel"}, {:family=>"Baron", :given=>"James"}]	["Resources and Relationships: Social Networks and Mobility in the Workplace"]	article-journal	["American Sociological Review"]	["1997"]
Required	[{:family=>"Wiggenhorn", :given=>"William"}]	["Motorola U: When Training Becomes an Education"]	article-journal	["Harvard Business Review (July-August"]	
Required	[{:family=>"Baker", :given=>"George"}, {:family=>"Gibbs", :given=>"Michael"}, {:family=>"Holmstrom", :given=>"Bengt"}]	["The Internal Economics of the Firm: Evidence from Personnel Data"]	article-journal	["Quarterly Journal of Economics"]	["1994"]
Required	[{:literal=>"———."}]	["The Wage Policy of a Firm"]	article-journal	["Quarterly Journal of Economics"]	["1994"]
Required	[{:family=>"Gibbons", :given=>"Robert"}, {:family=>"Waldman", :given=>"Michael"}]	["A Theory of Wage and Promotion Dynamics Inside a Firm"]	article-journal	["Quarterly Journal of Economics"]	["1999"]
Required	[{:family=>"Sonnenfeld", :given=>"Jeffrey"}, {:family=>"Lazo", :given=>"Meredith"}]	["United Parcel Service (A) and (B"]	book		["1992"]
Required	[{:family=>"Ichniowski", :given=>"Casey"}, {:family=>"Shaw", :given=>"Kathryn"}, {:family=>"Prennushi", :given=>"Giovanna"}]	["The Effects of Human Resource Management Practices on Productivity: A Study of Steel Finishing Lines"]	article-journal	["American Economic Review"]	["1997"]
Required	[{:family=>"Baron", :given=>"James"}, {:family=>"Hannan", :given=>"Michael"}]	["Organizational Blueprints for Success in High-Tech Start-Ups: Lessons from the Stanford Project on Emerging Companies"]	article-journal	["California Management Review"]	["2002"]
Required	[{:family=>"Fast", :given=>"Norman"}, {:family=>"Berg", :given=>"Norman"}]	["The Lincoln Electric Company"]	book		["1975"]
Required	[{:family=>"Brown", :given=>"Claire"}, {:family=>"Reich", :given=>"Michael"}]	["When Does Union-Management Cooperation Work? A Look at NUMMI and GM-Van Nuys"]	article-journal	["California Management Review"]	["1989"]
Required	[{:family=>"Gibbons", :given=>"Robert"}]	["Team Theory, Garbage Cans, and Real Organizations: Some History and Prospects of Economic Research on Decision-Making in Organizations"]	article-journal	["Industrial and Corporate Change"]	["2003"]
Required	[{:family=>"Sah", :given=>"Raj"}, {:family=>"Stiglitz", :given=>"Joseph"}]	["The Architecture of Economic Systems: Hierarchies and Polyarchies"]	article-journal	["American Economic Review"]	["1986"]
Required	[{:family=>"Feldman", :given=>"Martha"}, {:family=>"March", :given=>"James"}]	["Information in Organizations as Signal and Symbol"]	article-journal	["Administrative Science Quarterly"]	["1981"]
Required	[{:family=>"Aghion", :given=>"Philippe"}, {:family=>"Tirole", :given=>"Jean"}]	["Formal and Real Authority in Organizations"]	article-journal	["Journal of Political Economy"]	["1997"]
Required	[{:family=>"Baker", :given=>"George"}, {:family=>"Gibbons", :given=>"Robert"}, {:family=>"Murphy", :given=>"Kevin J."}]	["Informal Authority in Organizations"]	article-journal	["Journal of Law, Economics, and Organization"]	["1999"]
Required	[{:family=>"Aguilar", :given=>"Francis"}, {:family=>"Bhambri", :given=>"Arvind"}]	["Johnson"]	book		["1983"]
Required	[{:family=>"Foss", :given=>"Nicolai"}]	["Selective Intervention and Internal Hybrids: Interpreting and Learning from the Rise and Decline of the Oticon Spaghetti Organization"]	article-journal	["Organization Science"]	["2003"]
Required	[{:family=>"Rajan", :given=>"Raghuram"}, {:family=>"Zingales", :given=>"Luigi"}]	["The Tyranny of Inequality"]	article-journal	["Journal of Public Economics"]	["2000"]
Required	[{:family=>"Milgrom", :given=>"Paul"}, {:family=>"Roberts", :given=>"John"}]	["An Economic Approach to Influence Activities in Organizations"]	article-journal	["American Journal of Sociology"]	["1988"]
Required	[{:family=>"Kreps", :given=>"David"}]	["Corporate Culture and Economic Theory"]	chapter	["Perspectives on Positive Political Economy"]	["1990"]
Required	[{:family=>"Colin", :given=>"Camerer"}, {:family=>"Weber", :given=>"Roberto"}]	["Growing Organizational Culture in the Laboratory"]	chapter	["Chapter 96 in Handbook of Experimental Economics Results"]	["2008"]
Required	[{:family=>"Weber", :given=>"Roberto"}]	["Managing Growth to Achieve Efficient Coordination in Large Groups"]	article-journal	["American Economic Review"]	["2006"]
Required	[{:family=>"Kaftan", :given=>"Colleen"}, {:family=>"Barnes", :given=>"Louis"}]	["Sun Hydraulics Corporation (A and B) and (C"]	book		["1991"]
Required	[{:family=>"Ichino", :given=>"Andrea"}, {:family=>"Maggi", :given=>"Giovanni"}]	["Work Environment and Individual Background: Explaining Regional Shirking Differentials in a Large Italian Firm"]	article-journal	["Quarterly Journal of Economics"]	["2000"]
Required	[{:family=>"Bandiera", :given=>"Oriana"}, {:family=>"Barankay", :given=>"Iwan"}, {:family=>"Rasul", :given=>"Imran"}]	["Social Preferences and the Response to Incentives: Evidence from Personnel Data"]	article-journal	["Quarterly Journal of Economics"]	["2005"]
Required	[{:family=>"Miller", :given=>"Gary"}]	["Horizontal Cooperation.” Chapter 9 in Managerial Dilemmas: The Political Economy of Hierarchy"]			["1993"]
Required	[{:family=>"Hermalin", :given=>"Benjamin"}]	["Toward an Economic Theory of Leadership: Leading By Example"]	article-journal	["American Economic Review"]	["1998"]
Required	[{:family=>"Weber", :given=>"R."}, {:family=>"Rottenstreich", :given=>"Y."}, {:family=>"Camerer", :given=>"C."}, {:family=>"Knez", :given=>"M."}]	["The Illusion of Leadership: Misattribution of Cause in Coordination Games"]	article-journal	["Organizational Science"]	["2001"]
Required	[{:family=>"Caillaud", :given=>"Bernard"}, {:family=>"Tirole", :given=>"Jean"}]	["Consensus Building: How to Persuade a Group"]	article-journal	["American Economic Review"]	["2007"]
Required	[{:family=>"Rogers", :given=>"Gregory"}, {:family=>"Beer", :given=>"Michael"}]	["Human Resources at Hewlett-Packard (A) and (B"]	book		["1995"]
Required	[{:family=>"Garicano", :given=>"Luis"}]	["Hierarchies and the Organization of Knowledge in Production"]	article-journal	["Journal of Political Economy"]	["2000"]
Required	[{:family=>"Hart", :given=>"Oliver"}, {:family=>"Moore", :given=>"John"}]	["On the Design of Hierarchies: Coordination Versus Specialization"]	article-journal	["Journal of Political Economy"]	["2005"]
Required	[{:family=>"Freeland", :given=>"Robert"}]	["The Myth of the M-Form? Governance, Consent, and Organizational Change"]	article-journal	["American Journal of Sociology"]	["1996"]
Required	[{:family=>"Holland", :given=>"Philip"}, {:family=>"Eccles", :given=>"Robert"}]	["Jacobs Suchard: Reorganizing for 1992"]	book		["1989"]
Required	[{:family=>"Bartlett", :given=>"Christopher"}]	["ABB’s Relays Business: Building and Managing a Global Matrix"]	book		["1993"]
Required	[{:family=>"Steen", :particle=>"Van den"}, {:given=>"Eric"}]	["Interpersonal Authority in a Theory of the Firm"]	manuscript		["2007"]
Required	[{:family=>"Baker", :given=>"George"}]	["Beatrice: A Study in the Creation and Destruction of Value"]	article-journal	["Journal of Finance"]	["1992"]
Required	[{:family=>"Villalonga", :given=>"Belén"}]	["Diversification Discount or Premium? New Evidence from Business Information Tracking Series Establishment-Level Data"]	article-journal	["Journal of Finance"]	["2004"]
Required	[{:family=>"Ménard", :given=>"Claude"}]	["On Clusters, Hybrids, and Other Strange Forms: The Case of the French Poultry Industry"]	article-journal	["Journal of Institutional and Theoretical Economics"]	["1996"]
Required	[{:family=>"Robinson", :given=>"David"}, {:family=>"Stuart", :given=>"Toby"}]	["Network Effects in the Governance of Strategic Alliances"]	article-journal	["Journal of Law, Economics, and Organization"]	["2007"]
